carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.47293923215591976}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.946217541405748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0114246279552097}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.2341352879140908}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.7205088760073461}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9536894594413883}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6251411}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.47813134407422275}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9438280551452939}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.9955155021462488}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.2182713156302645}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.7006466797717921}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9470184974560099}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6205704}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.47320196427265077}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.977643240057475}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.216077971085946}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.6907542525033977}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9742525394994143}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.62094843}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.47605733767409153}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.9996650781234825}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.216789249283893}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.6995163649761191}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9486166471819496}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.62167346}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.4758422640675572}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.9892720095788027}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.2155211732042948}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.6887139140706638}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.932554664696811}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.61876255}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.46651845981730045}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0041067268654362}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.2347345173527313}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.7005227772448452}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9325546626005141}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6212694}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.4717655862543801}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.9651486973721212}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.2132655378654997}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.6827156193817213}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9325546626005141}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6159266}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.48229491256816104}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0304134042094095}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.225631078168321}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.7206068423742146}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9428770091462817}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6264178}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.48820470654902054}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.022175447634778}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.217450580499867}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.7190493901957976}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.959603440206889}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.62691504}"
