carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.7936289333106956}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8886420830600713}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.4603678287353703}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8080796485227554}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3038428984093509}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1638652975644104}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.8761672}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.7678746333534334}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8899586954164783}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.6918247516943334}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8505532133927568}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3642715954956797}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3045762693685379}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.90961707}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.7400245228441842}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8813085522348846}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.729978337611878}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.9149558107103732}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4714437828717837}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2698362297995092}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.917361}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.7538385490908492}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8785207081534052}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.637223733144042}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.863452428642744}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3666080786547516}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.362626703295563}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.90618336}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.8052317499003763}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8893500099512771}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.652704166751058}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.7997623016872171}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.2809458675699872}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1668425170131733}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.8898473}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.7701865531618954}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8657333583914394}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.647570387315592}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8686986335256386}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4257280004557327}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.4602602026979106}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.916908}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.832004229205145}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8930890238770482}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.643649952967768}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8727289933322513}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4939299946115392}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.7638387574197858}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.9591882}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.7801229232847176}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8765522075141522}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.502733528514621}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8226010050309994}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3167674952884645}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3105439368308927}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.8874264}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.8221450385272717}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8892612212004319}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.481015503072705}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8453375058420183}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3643854414080137}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.0089442412538823}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.8764691}"
