carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.318572279903938}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8432724125702503}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7246530891110714}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0960096411373204}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3288749441280352}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1529700398573692}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8603174603174604}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7488182685836199}","{'display_name': 'Score', 'weight': None, 'value': 1.0988973}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3564545330969164}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8430685605179908}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.8924529731876487}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0456531223643815}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.2743667097636553}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.0027205122485692}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7746031746031745}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6849057599239381}","{'display_name': 'Score', 'weight': None, 'value': 1.0736318}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3496149676854587}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8324215181341431}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7350148779342587}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.1085986251248785}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4310235529337878}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.16392384555324}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8396825396825397}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7141776765539807}","{'display_name': 'Score', 'weight': None, 'value': 1.1006591}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3434128118479993}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8290493871521539}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.711625015996596}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0845775633402808}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3615176224814178}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3730397985370209}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8380952380952381}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.711380043998583}","{'display_name': 'Score', 'weight': None, 'value': 1.1052845}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3653789633457627}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8282963323070275}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.852296782744582}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0963181312977013}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4118418868431224}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.550458010650191}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8396825396825397}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6307202784036946}","{'display_name': 'Score', 'weight': None, 'value': 1.1239059}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3757537164266738}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.867401403009401}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7419209582351796}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0482105379877908}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3423187232093092}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.176770238461811}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7968253968253968}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.728952280791822}","{'display_name': 'Score', 'weight': None, 'value': 1.099854}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3823979235414192}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8621348335717087}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.923743465252151}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.091002782930523}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4408426092618483}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1869247093538882}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8190476190476191}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6770487378284419}","{'display_name': 'Score', 'weight': None, 'value': 1.1194832}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.406667265327277}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8547635151796974}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.908205907885396}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0330048175250073}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.342266195050608}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.354335521769779}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8174603174603176}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7212108895221734}","{'display_name': 'Score', 'weight': None, 'value': 1.1257324}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4478932955569963}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8630091897820332}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.8741043213600257}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0579933472264773}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4274016703590158}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2166438779106117}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7746031746031745}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.692934203941392}","{'display_name': 'Score', 'weight': None, 'value': 1.1170335}"
